,sd,b,sv,+,%,aa,ba,qy,x,ny,fc,qw,nn,bk,h,qy^d,bh,^q,bf,fo_o_fw_"_by_bc,na,ad,^2,b^m,qo,qh,^h,ar,ng,br,no,fp,qrr,arp_nd,t3,oo_co_cc,aap_am,bd,t1,^g,qw^d,fa,ft
fc,0.15105698652150312,0.11509103734971665,0.031170489282214928,0.0,0.011988649723928818,0.016784109613500346,0.01918183955828611,0.014386379668714581,0.0,0.007193189834357291,0.9806715474173774,0.004795459889571528,0.004795459889571528,0.007193189834357291,0.0,0.002397729944785764,0.002397729944785764,0.004795459889571528,0.002397729944785764,0.0,0.0,0.004795459889571528,0.0,0.0,0.0,0.002397729944785764,0.002397729944785764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004795459889571528
qw,0.01961632954454999,0.0,0.0,0.0,0.01961632954454999,0.0,0.0,0.0065387765148499965,0.0,0.0,0.0,0.9938940302571995,0.0,0.0,0.0,0.0032693882574249982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10135103598017495,0.03269388257424998,0.0,0.0,0.0,0.0032693882574249982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nn,0.0,0.013172980944868722,0.0,0.0,0.004390993648289574,0.07464689202092276,0.004390993648289574,0.0,0.0,0.0,0.0,0.0,0.9967555581617333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026345961889737445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bk,0.03770826518537997,0.7604500145718295,0.0,0.0,0.0062847108642299955,0.0062847108642299955,0.018854132592689987,0.0,0.0,0.0,0.012569421728459991,0.0,0.0,0.6473252190156895,0.0,0.0,0.0062847108642299955,0.0,0.0,0.025138843456919982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,0.23150175496485484,0.0,0.050817458406919355,0.005646384267435484,0.022585537069741937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711780939989033,0.0,0.0,0.005646384267435484,0.0,0.0,0.0,0.005646384267435484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005646384267435484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qy^d,0.6945437356003695,0.008574614019757648,0.4201560869681248,0.04287307009878824,0.0,0.008574614019757648,0.017149228039515296,0.5402006832447319,0.0,0.0,0.0,0.025723842059272944,0.0,0.0,0.008574614019757648,0.20579073647418356,0.05144768411854589,0.0,0.017149228039515296,0.0,0.008574614019757648,0.0,0.025723842059272944,0.008574614019757648,0.0,0.008574614019757648,0.0,0.0,0.0,0.0,0.008574614019757648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bh,0.026366599612973565,0.04745987930335242,0.005273319922594714,0.0,0.0,0.0,0.005273319922594714,0.058006519148541845,0.0,0.0,0.0,0.01581995976778414,0.0,0.005273319922594714,0.0,0.0,0.9966574653704008,0.0,0.005273319922594714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
^q,0.9201749448683804,0.0347235828252219,0.2777886626017752,0.0347235828252219,0.01736179141261095,0.01736179141261095,0.043404478531527374,0.0694471656504438,0.0,0.0,0.0,0.01736179141261095,0.0,0.0,0.0,0.0,0.008680895706305475,0.25174597548285876,0.0,0.0,0.008680895706305475,0.0347235828252219,0.008680895706305475,0.0,0.0,0.0347235828252219,0.0,0.008680895706305475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bf,0.8159720761000854,0.011332945501390074,0.5326484385653335,0.11332945501390075,0.045331782005560296,0.0,0.022665891002780148,0.10199650951251067,0.0,0.0,0.0,0.011332945501390074,0.0,0.0,0.0,0.12466240051529083,0.011332945501390074,0.033998836504170224,0.033998836504170224,0.0,0.0,0.0,0.07933061850973053,0.0,0.0,0.0,0.0,0.0,0.0,0.011332945501390074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fo_o_fw_"_by_bc,0.15904436366040028,0.12723549092832023,0.06361774546416012,0.03180887273208006,0.09542661819624017,0.06361774546416012,0.03180887273208006,0.06361774546416012,0.0,0.03180887273208006,0.021205915154720038,0.0,0.010602957577360019,0.010602957577360019,0.0,0.0,0.010602957577360019,0.021205915154720038,0.0,0.9648691395397617,0.0,0.03180887273208006,0.0,0.0,0.0,0.0,0.021205915154720038,0.021205915154720038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010602957577360019,0.0
na,0.816830049016339,0.16336600980326782,0.09335200560186732,0.05834500350116708,0.011669000700233415,0.12835900770256756,0.02333800140046683,0.0,0.0,0.011669000700233415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02333800140046683,0.5251050315105037,0.011669000700233415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011669000700233415,0.0,0.0,0.011669000700233415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
